Which EPA Section is This From?,Name of Water Source,Date of Water Sampling,Longitude,Latitude,US EPA Risk Rating,Amount of Aluminum (Al),Exceedance of Aluminum (Al)?,Amount of Antimony (Sb),Exceedance of of Antimony (Sb)?,Amount of Arsenic (As),Exceedance of Arsenic (As)?,Amount of Barium (Ba),Exceedance of Barium (Ba)?,Amount of Beryllium (Be),Exceedance of Beryllium (Be)?,Amount of Cadmium (Cd),Exceedance of Cadmium (Cd)?,Amount of Chromium (Cr),Exceedance of Chromium (Cr)?,Amount of Copper (Cu),Exceedance of Copper (Cu)?,Amount of Iron (Fe),Exceedance of Iron (Fe)?,Amount of Lead (Pb),Exceedance of Lead (Pb)?,Amount of Manganese (Mn),Exceedance of Manganese (Mn)?,Amount of Mercury (Hg),Exceedance of Mercury (Hg)?,Amount of Nickel (Ni),Exceedance of Nickel (Ni)?,Amount of Selenium (Se),Exceedance of Selenium (Se)?,Amount of Silver (Ag),Exceedance of Silver (Ag)?,Amount of Thallium (TI),Exceedance of Thallium (TI)?,Amount of Vanadium (V),Exceedance of Vanadium (V)?,Amount of Zinc (Zn),Exceedance of Zinc (Zn)?,Amount of Alpha Particles,Alpha Particle Exceedance?,Amount of Beta Particles,Beta Particle Exceedance?,Amount of Lead210,Exceedance of Lead210?,Amount of Radium226,Exceedance of of Radium226?,Amount of Radium228,Exceedance of Radium228?,Amount of Thorium228,Exceedance of Thorium228?,Amount of Thorium230,Exceedance of Thorium230?,Amount of Thorium232,Exceedance of Thorium232?,Amount of Uranium234,Exceedance of Uranium234?,Amount of Uranium235,Exceedance of Uranium235?,Amount of Uranium238,Exceedance of Uranium238?
Section 2,9T-546,3/17/99,109 17 41.893,36 54 13.7868,Some Risk,71.5,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),18.3,No (Below 50 micrograms/liter),8.8,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),4.9,"No (Below 1,300 micrograms/liter)","1,140.00",Yes (Above 300 micrograms/liter),1.2,No (Below 15 micrograms/liter),8,No (Below 50 micrograms/liter),0.076,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),6.5,No (Below 260 micrograms/liter),139,"No (Below 5,000 micrograms/liter)",10.3,No (Below 15 pico-curies/liter),3.17,No (Below 50 pico-curies/liter),0.19,Yes (Above 0.047 pico-curies/liter),0.01,No (Below 5 Pico-curies per Liter),0.021,No (Below 5 pico-curies/liter),-0.002,No (Below 0.21 pico-curies/liter),0.011,No (Below 1.3 pico-curies/liter),-0.001,No (Below 1.5 pico-curies/liter),7.43,No (Below 20 pico-curies/liter),0.131,No (Below 20 pico-curies/liter),1.52,No (Below 20 pico-curies/liter)
Section 2,Badger Spring,7/29/98,111 11 46.958,35 38 26.7611,More Risk,161,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),51.1,Yes (Above 50 micrograms/liter),57.4,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),4.7,"No (Below 1,300 micrograms/liter)",90.3,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),2.1,No (Below 50 micrograms/liter),0.019,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),2.9,Yes (Above 2 micrograms/liter),409,Yes (Above 260 micrograms/liter),7.9,"No (Below 5,000 micrograms/liter)",21.5,Yes (Above 15 pico-curies/liter),9.85,No (Below 50 pico-curies/liter),0.58,Yes (Above 0.047 pico-curies/liter),0.051,No (Below 5 Pico-curies per Liter),-0.029,No (Below 5 pico-curies/liter),0.004,No (Below 0.21 pico-curies/liter),0,No (Below 1.3 pico-curies/liter),-0.002,No (Below 1.5 pico-curies/liter),12,No (Below 20 pico-curies/liter),1.2,No (Below 20 pico-curies/liter),8.86,No (Below 20 pico-curies/liter)
Section 7,Tsiah Spring,9/22/98,110 8 2.15520,36 55 41.3190,Some Risk,88.1,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),7.2,No (Below 50 micrograms/liter),149,"No (Below 1,000 micrograms/liter)",0.3,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),9.9,"No (Below 1,300 micrograms/liter)",43.1,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0.8,No (Below 50 micrograms/liter),0.087,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),2.8,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),7.8,No (Below 260 micrograms/liter),33.7,"No (Below 5,000 micrograms/liter)",3.23,No (Below 15 pico-curies/liter),8.5,No (Below 50 pico-curies/liter),0.71,Yes (Above 0.047 pico-curies/liter),0.217,No (Below 5 Pico-curies per Liter),0.681,No (Below 5 pico-curies/liter),0.036,No (Below 0.21 pico-curies/liter),0.01,No (Below 1.3 pico-curies/liter),0.006,No (Below 1.5 pico-curies/liter),2.67,No (Below 20 pico-curies/liter),0.047,No (Below 20 pico-curies/liter),1.07,No (Below 20 pico-curies/liter)
Section 7,Monument Valley Park,9/22/98,110 6 48.3239,36 58 53.5044,Some Risk,72.6,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),278,"No (Below 1,000 micrograms/liter)",0.4,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),11.2,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0,No (Below 50 micrograms/liter),0.14,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),2.8,No (Below 260 micrograms/liter),28.1,"No (Below 5,000 micrograms/liter)",1.95,No (Below 15 pico-curies/liter),1.92,No (Below 50 pico-curies/liter),0.6,Yes (Above 0.047 pico-curies/liter),0.102,No (Below 5 Pico-curies per Liter),0.65,No (Below 5 pico-curies/liter),0.026,No (Below 0.21 pico-curies/liter),0.003,No (Below 1.3 pico-curies/liter),-0.002,No (Below 1.5 pico-curies/liter),1.29,No (Below 20 pico-curies/liter),0.046,No (Below 20 pico-curies/liter),0.49,No (Below 20 pico-curies/liter)
Section 7,Sand Spring,9/22/98,110 3 19.8377,36 55 55.8119,Some Risk,480,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),114,"No (Below 1,000 micrograms/liter)",0.3,No (Below 4 micrograms/liter),1.1,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",197,No (Below 300 micrograms/liter),10.3,No (Below 15 micrograms/liter),20.1,No (Below 50 micrograms/liter),0.084,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),14.8,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),6.4,No (Below 260 micrograms/liter),6.6,"No (Below 5,000 micrograms/liter)",2.93,No (Below 15 pico-curies/liter),9.62,No (Below 50 pico-curies/liter),0.47,Yes (Above 0.047 pico-curies/liter),0.098,No (Below 5 Pico-curies per Liter),0.824,No (Below 5 pico-curies/liter),0.178,No (Below 0.21 pico-curies/liter),0.079,No (Below 1.3 pico-curies/liter),0.074,No (Below 1.5 pico-curies/liter),2.37,No (Below 20 pico-curies/liter),-0.016,No (Below 20 pico-curies/liter),1.41,No (Below 20 pico-curies/liter)
Section 7,Tank-East of Chapter,9/1/98,109 48 29.801,36 53 54.5862,Some Risk,45.7,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),13,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),16,"No (Below 1,300 micrograms/liter)",329,Yes (Above 300 micrograms/liter),0,No (Below 15 micrograms/liter),1.6,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),3.6,Yes (Above 2 micrograms/liter),3.2,No (Below 260 micrograms/liter),142,"No (Below 5,000 micrograms/liter)",2,No (Below 15 pico-curies/liter),2.35,No (Below 50 pico-curies/liter),0.19,Yes (Above 0.047 pico-curies/liter),0.068,No (Below 5 Pico-curies per Liter),0.144,No (Below 5 pico-curies/liter),0.043,No (Below 0.21 pico-curies/liter),0.008,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),2.14,No (Below 20 pico-curies/liter),0.031,No (Below 20 pico-curies/liter),0.33,No (Below 20 pico-curies/liter)
Section 7,Tank 8T-519,9/1/98,109 46 23.957,36 55 24.8562,Some Risk,48,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),2.8,No (Below 50 micrograms/liter),20.2,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",56.7,No (Below 300 micrograms/liter),2.3,No (Below 15 micrograms/liter),0.6,No (Below 50 micrograms/liter),0.071,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),8.4,No (Below 260 micrograms/liter),479,"No (Below 5,000 micrograms/liter)",1.14,No (Below 15 pico-curies/liter),1.04,No (Below 50 pico-curies/liter),0.08,Yes (Above 0.047 pico-curies/liter),0.091,No (Below 5 Pico-curies per Liter),0.212,No (Below 5 pico-curies/liter),0.043,No (Below 0.21 pico-curies/liter),0.002,No (Below 1.3 pico-curies/liter),0.009,No (Below 1.5 pico-curies/liter),0.67,No (Below 20 pico-curies/liter),0.068,No (Below 20 pico-curies/liter),0.14,No (Below 20 pico-curies/liter)
Section 7,Artesian Well 613,10/12/98,109 51 50.499,36 55 32.6430,Less Risk,69.1,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),38.9,"No (Below 1,000 micrograms/liter)",0.2,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",20.6,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0,No (Below 50 micrograms/liter),0.19,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0.9,No (Below 260 micrograms/liter),8.8,"No (Below 5,000 micrograms/liter)",4.6,No (Below 15 pico-curies/liter),2.87,No (Below 50 pico-curies/liter),0.46,Yes (Above 0.047 pico-curies/liter),0.043,No (Below 5 Pico-curies per Liter),0.368,No (Below 5 pico-curies/liter),-0.012,No (Below 0.21 pico-curies/liter),0.01,No (Below 1.3 pico-curies/liter),0.005,No (Below 1.5 pico-curies/liter),2.37,No (Below 20 pico-curies/liter),0.041,No (Below 20 pico-curies/liter),1.31,No (Below 20 pico-curies/liter)
Section 5,WSL Spring,11/17/98,109 27 57.906,35 56 4.75141,Some Risk,222,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),147,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",119,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),18,No (Below 50 micrograms/liter),0.07,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),1.1,No (Below 260 micrograms/liter),6.2,"No (Below 5,000 micrograms/liter)",8.54,No (Below 15 pico-curies/liter),8.46,No (Below 50 pico-curies/liter),1.27,Yes (Above 0.047 pico-curies/liter),0.079,No (Below 5 Pico-curies per Liter),0.303,No (Below 5 pico-curies/liter),0.08,No (Below 0.21 pico-curies/liter),0.036,No (Below 1.3 pico-curies/liter),0.025,No (Below 1.5 pico-curies/liter),5.2,No (Below 20 pico-curies/liter),0.161,No (Below 20 pico-curies/liter),2.4,No (Below 20 pico-curies/liter)
Section 7,Stockpile Well,9/10/98,109 51 54.831,36 56 10.0104,Some Risk,222,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),8.2,No (Below 50 micrograms/liter),9.5,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),2.5,"No (Below 1,300 micrograms/liter)",4050,Yes (Above 300 micrograms/liter),1.5,No (Below 15 micrograms/liter),43.3,No (Below 50 micrograms/liter),0.19,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),1,No (Below 260 micrograms/liter),30.8,"No (Below 5,000 micrograms/liter)",0.25,No (Below 15 pico-curies/liter),4.53,No (Below 50 pico-curies/liter),0.8,Yes (Above 0.047 pico-curies/liter),0.053,No (Below 5 Pico-curies per Liter),0.301,No (Below 5 pico-curies/liter),-0.001,No (Below 0.21 pico-curies/liter),0.012,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),0.35,No (Below 20 pico-curies/liter),0.055,No (Below 20 pico-curies/liter),0.06,No (Below 20 pico-curies/liter)
Section 2,9T586,9/7/99,109 18 36.457,36 51 50.4593,Some Risk,45,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),20.4,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",161,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),21.1,No (Below 50 micrograms/liter),0.022,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 260 micrograms/liter),101,"No (Below 5,000 micrograms/liter)",11.6,No (Below 15 pico-curies/liter),6.7,No (Below 50 pico-curies/liter),0.7,Yes (Above 0.047 pico-curies/liter),1.5,No (Below 5 Pico-curies per Liter),-5.8,No (Below 5 pico-curies/liter),0.3,Yes (Above 0.21 pico-curies/liter),0.3,No (Below 1.3 pico-curies/liter),0.3,No (Below 1.5 pico-curies/liter),14.7,No (Below 20 pico-curies/liter),0.2,No (Below 20 pico-curies/liter),5.4,No (Below 20 pico-curies/liter)
Section 7,Tse-li-chee-hateh,9/10/98,109 50 40.450,37 1 12.07919,Some Risk,58.8,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),7.6,No (Below 50 micrograms/liter),64.4,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0,No (Below 50 micrograms/liter),0.071,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),4,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),10.6,No (Below 260 micrograms/liter),5.2,"No (Below 5,000 micrograms/liter)",4.39,No (Below 15 pico-curies/liter),2.51,No (Below 50 pico-curies/liter),1.32,Yes (Above 0.047 pico-curies/liter),0.056,No (Below 5 Pico-curies per Liter),0.416,No (Below 5 pico-curies/liter),-0.002,No (Below 0.21 pico-curies/liter),0,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),3.34,No (Below 20 pico-curies/liter),0.039,No (Below 20 pico-curies/liter),2.03,No (Below 20 pico-curies/liter)
Section 5,Tsegito Spring,11/17/98,109 23 30.523,35 55 15.5093,Some Risk,79,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),271,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",16.5,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),8.2,No (Below 50 micrograms/liter),0.063,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),3.6,No (Below 260 micrograms/liter),2.2,"No (Below 5,000 micrograms/liter)",7.44,No (Below 15 pico-curies/liter),4.22,No (Below 50 pico-curies/liter),0.23,Yes (Above 0.047 pico-curies/liter),0.281,No (Below 5 Pico-curies per Liter),0.263,No (Below 5 pico-curies/liter),-0.002,No (Below 0.21 pico-curies/liter),0.004,No (Below 1.3 pico-curies/liter),-0.001,No (Below 1.5 pico-curies/liter),4.56,No (Below 20 pico-curies/liter),0.128,No (Below 20 pico-curies/liter),2.77,No (Below 20 pico-curies/liter)
Section 5,Honeymoon Spring,11/18/98,109 19 2.1587,35 58 55.0020,Some Risk,81.8,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),246,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",591,Yes (Above 300 micrograms/liter),2.5,No (Below 15 micrograms/liter),863,Yes (Above 50 micrograms/liter),0.067,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),4.1,Yes (Above 2 micrograms/liter),1.1,No (Below 260 micrograms/liter),126,"No (Below 5,000 micrograms/liter)",10.5,No (Below 15 pico-curies/liter),8.41,No (Below 50 pico-curies/liter),0.56,Yes (Above 0.047 pico-curies/liter),0.116,No (Below 5 Pico-curies per Liter),0.534,No (Below 5 pico-curies/liter),0.053,No (Below 0.21 pico-curies/liter),-0.001,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),5.5,No (Below 20 pico-curies/liter),0.232,No (Below 20 pico-curies/liter),3.19,No (Below 20 pico-curies/liter)
Section 5,White Rock Spring,11/18/98,109 16 33.746,35 54 14.8859,Some Risk,66.2,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),374,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",62.9,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),128,Yes (Above 50 micrograms/liter),0.25,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0.7,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 260 micrograms/liter),10.6,"No (Below 5,000 micrograms/liter)",4.3,No (Below 15 pico-curies/liter),5.02,No (Below 50 pico-curies/liter),0.76,Yes (Above 0.047 pico-curies/liter),0.075,No (Below 5 Pico-curies per Liter),0.386,No (Below 5 pico-curies/liter),0.009,No (Below 0.21 pico-curies/liter),-0.001,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),8.05,No (Below 20 pico-curies/liter),0.121,No (Below 20 pico-curies/liter),1.89,No (Below 20 pico-curies/liter)
Section 2,9K216,9/7/99,109 22 3.3336,36 50 38.7107,Some Risk,44,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),80.2,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0.2,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),1.3,No (Below 50 micrograms/liter),0.019,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),16,No (Below 260 micrograms/liter),41.7,"No (Below 5,000 micrograms/liter)",15.5,Yes (Above 15 pico-curies/liter),13.6,No (Below 50 pico-curies/liter),1,Yes (Above 0.047 pico-curies/liter),0.3,No (Below 5 Pico-curies per Liter),-8,No (Below 5 pico-curies/liter),0.6,Yes (Above 0.21 pico-curies/liter),0.2,No (Below 1.3 pico-curies/liter),0.2,No (Below 1.5 pico-curies/liter),17.6,No (Below 20 pico-curies/liter),1.5,No (Below 20 pico-curies/liter),8.1,No (Below 20 pico-curies/liter)
Section 2,9T550,9/7/99,109 23 23.047,36 52 28.2348,More Risk,76,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),40.6,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),12.7,"No (Below 1,300 micrograms/liter)",258,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),19.1,No (Below 50 micrograms/liter),0.038,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),2.8,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 260 micrograms/liter),355,"No (Below 5,000 micrograms/liter)",18.6,Yes (Above 15 pico-curies/liter),15.5,No (Below 50 pico-curies/liter),5.5,Yes (Above 0.047 pico-curies/liter),2,No (Below 5 Pico-curies per Liter),-6.5,No (Below 5 pico-curies/liter),0.3,Yes (Above 0.21 pico-curies/liter),0.6,No (Below 1.3 pico-curies/liter),0.2,No (Below 1.5 pico-curies/liter),22.4,Yes (Above 20 pico-curies/liter),1.9,No (Below 20 pico-curies/liter),8,No (Below 20 pico-curies/liter)
Section 2,West Thumb Rock Well,12/1/99,109 5 8.59,36 27 48.54,More Risk,39,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),7.9,No (Below 50 micrograms/liter),147,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),4.3,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),5.1,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),21.3,No (Below 260 micrograms/liter),24,"No (Below 5,000 micrograms/liter)",12.2,No (Below 15 pico-curies/liter),14.1,No (Below 50 pico-curies/liter),-0.2,No (Below 0.047 pico-curies/liter),0,No (Below 5 Pico-curies per Liter),-1.9,No (Below 5 pico-curies/liter),0.2,No (Below 0.21 pico-curies/liter),0.2,No (Below 1.3 pico-curies/liter),0.2,No (Below 1.5 pico-curies/liter),16.8,No (Below 20 pico-curies/liter),0.9,No (Below 20 pico-curies/liter),15.1,No (Below 20 pico-curies/liter)
Section 5,Fluted Rock Well,11/17/98,109 14 55.453,35 52 35.4647,Some Risk,60.4,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),79.2,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),15.9,"No (Below 1,300 micrograms/liter)",182,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),5.4,No (Below 50 micrograms/liter),0.072,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),2.7,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 260 micrograms/liter),113,"No (Below 5,000 micrograms/liter)",1.62,No (Below 15 pico-curies/liter),5.58,No (Below 50 pico-curies/liter),0.61,Yes (Above 0.047 pico-curies/liter),0.101,No (Below 5 Pico-curies per Liter),0.751,No (Below 5 pico-curies/liter),0.002,No (Below 0.21 pico-curies/liter),0.012,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),3.13,No (Below 20 pico-curies/liter),0.039,No (Below 20 pico-curies/liter),2.4,No (Below 20 pico-curies/liter)
